Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-13 04:00:00-05:00,169.65,169.65,169.65,169.65,0,0.0,0.0
2025-01-13 04:03:00-05:00,169.02,169.26,169.02,169.1,0,0.0,0.0
2025-01-13 04:04:00-05:00,168.72,168.72,168.72,168.72,0,0.0,0.0
2025-01-13 04:05:00-05:00,169.09,169.09,168.76,168.8,0,0.0,0.0
2025-01-13 04:06:00-05:00,168.59,168.7,168.59,168.7,0,0.0,0.0
2025-01-13 04:08:00-05:00,168.45,168.45,168.45,168.45,0,0.0,0.0
2025-01-13 04:13:00-05:00,168.48,168.48,168.48,168.48,0,0.0,0.0
2025-01-13 04:23:00-05:00,168.0,168.19,168.0,168.19,0,0.0,0.0
2025-01-13 04:32:00-05:00,167.7,168.09,167.7,168.09,0,0.0,0.0
2025-01-13 04:33:00-05:00,167.77,167.84,167.68,167.84,0,0.0,0.0
2025-01-13 04:34:00-05:00,167.6,167.6,167.6,167.6,0,0.0,0.0
2025-01-13 04:36:00-05:00,167.85,167.85,167.85,167.85,0,0.0,0.0
2025-01-13 04:38:00-05:00,167.85,167.9,167.85,167.9,0,0.0,0.0
2025-01-13 04:39:00-05:00,168.31,168.31,167.87,167.87,0,0.0,0.0
2025-01-13 04:40:00-05:00,168.27,168.28,168.0,168.0,0,0.0,0.0
2025-01-13 04:46:00-05:00,167.84,168.2,167.84,168.2,0,0.0,0.0
2025-01-13 04:47:00-05:00,168.0,168.29,168.0,168.29,0,0.0,0.0
2025-01-13 04:50:00-05:00,168.0,168.0,167.49,167.49,0,0.0,0.0
2025-01-13 04:53:00-05:00,167.46,167.46,167.46,167.46,0,0.0,0.0
2025-01-13 04:55:00-05:00,167.9,167.94,167.9,167.94,0,0.0,0.0
2025-01-13 04:56:00-05:00,167.93,167.93,167.88,167.88,0,0.0,0.0
2025-01-13 04:58:00-05:00,167.87,167.87,167.87,167.87,0,0.0,0.0
2025-01-13 04:59:00-05:00,167.96,168.07,167.96,168.07,0,0.0,0.0
2025-01-13 05:00:00-05:00,168.31,168.31,168.31,168.31,0,0.0,0.0
2025-01-13 05:01:00-05:00,168.39,168.39,168.29,168.29,0,0.0,0.0
2025-01-13 05:03:00-05:00,168.3,168.3,168.3,168.3,0,0.0,0.0
2025-01-13 05:04:00-05:00,168.3,168.34,168.3,168.34,0,0.0,0.0
2025-01-13 05:12:00-05:00,168.1,168.1,168.1,168.1,0,0.0,0.0
2025-01-13 05:15:00-05:00,168.24,168.27,168.24,168.27,0,0.0,0.0
2025-01-13 05:16:00-05:00,168.36,168.36,168.36,168.36,0,0.0,0.0
2025-01-13 05:20:00-05:00,167.72,167.72,167.6,167.6,0,0.0,0.0
2025-01-13 05:25:00-05:00,167.6,167.6,167.6,167.6,0,0.0,0.0
2025-01-13 05:27:00-05:00,167.99,167.99,167.96,167.96,0,0.0,0.0
2025-01-13 05:28:00-05:00,167.94,167.94,167.94,167.94,0,0.0,0.0
2025-01-13 05:30:00-05:00,167.97,167.97,167.97,167.97,0,0.0,0.0
2025-01-13 05:31:00-05:00,167.97,167.99,167.97,167.99,0,0.0,0.0
2025-01-13 05:33:00-05:00,167.99,167.99,167.99,167.99,0,0.0,0.0
2025-01-13 05:34:00-05:00,167.98,167.98,167.98,167.98,0,0.0,0.0
2025-01-13 05:35:00-05:00,167.98,167.98,167.98,167.98,0,0.0,0.0
2025-01-13 05:37:00-05:00,167.99,167.99,167.99,167.99,0,0.0,0.0
2025-01-13 05:38:00-05:00,167.99,167.99,167.99,167.99,0,0.0,0.0
2025-01-13 05:39:00-05:00,167.99,167.99,167.99,167.99,0,0.0,0.0
2025-01-13 05:40:00-05:00,167.99,168.14,167.99,168.14,0,0.0,0.0
2025-01-13 05:42:00-05:00,167.99,167.99,167.99,167.99,0,0.0,0.0
2025-01-13 05:43:00-05:00,167.98,167.98,167.97,167.98,0,0.0,0.0
2025-01-13 05:44:00-05:00,167.98,167.98,167.85,167.85,0,0.0,0.0
2025-01-13 05:55:00-05:00,167.94,167.94,167.94,167.94,0,0.0,0.0
2025-01-13 05:58:00-05:00,167.9,167.9,167.9,167.9,0,0.0,0.0
2025-01-13 06:00:00-05:00,168.06,168.18,168.05,168.06,0,0.0,0.0
2025-01-13 06:15:00-05:00,168.0,168.0,168.0,168.0,0,0.0,0.0
2025-01-13 06:16:00-05:00,168.0,168.0,168.0,168.0,0,0.0,0.0
2025-01-13 06:17:00-05:00,168.05,168.05,168.05,168.05,0,0.0,0.0
2025-01-13 06:29:00-05:00,168.2,168.2,168.2,168.2,0,0.0,0.0
2025-01-13 06:41:00-05:00,168.2,168.2,168.2,168.2,0,0.0,0.0
2025-01-13 06:42:00-05:00,168.2,168.44,168.2,168.44,0,0.0,0.0
2025-01-13 06:49:00-05:00,168.4,168.4,168.4,168.4,0,0.0,0.0
2025-01-13 06:52:00-05:00,168.44,168.5,168.44,168.5,0,0.0,0.0
2025-01-13 06:56:00-05:00,168.67,168.67,168.63,168.67,0,0.0,0.0
2025-01-13 06:58:00-05:00,168.29,168.29,168.29,168.29,0,0.0,0.0
2025-01-13 07:00:00-05:00,168.62,168.69,168.62,168.69,0,0.0,0.0
2025-01-13 07:05:00-05:00,168.55,168.55,168.55,168.55,0,0.0,0.0
2025-01-13 07:10:00-05:00,168.31,168.31,168.31,168.31,0,0.0,0.0
2025-01-13 07:13:00-05:00,168.16,168.16,168.16,168.16,0,0.0,0.0
2025-01-13 07:18:00-05:00,168.6,168.6,168.6,168.6,0,0.0,0.0
2025-01-13 07:19:00-05:00,168.6,168.6,168.59,168.59,0,0.0,0.0
2025-01-13 07:20:00-05:00,168.76,168.76,168.76,168.76,0,0.0,0.0
2025-01-13 07:21:00-05:00,168.76,168.76,168.76,168.76,0,0.0,0.0
2025-01-13 07:24:00-05:00,168.68,168.75,168.68,168.75,0,0.0,0.0
2025-01-13 07:25:00-05:00,168.75,168.78,168.75,168.78,0,0.0,0.0
2025-01-13 07:32:00-05:00,168.69,168.69,168.69,168.69,0,0.0,0.0
2025-01-13 07:34:00-05:00,168.75,168.75,168.75,168.75,0,0.0,0.0
2025-01-13 07:37:00-05:00,168.75,168.75,168.75,168.75,0,0.0,0.0
2025-01-13 07:39:00-05:00,168.8,168.97,168.8,168.97,0,0.0,0.0
2025-01-13 07:40:00-05:00,168.97,168.97,168.97,168.97,0,0.0,0.0
2025-01-13 07:42:00-05:00,168.97,168.97,168.97,168.97,0,0.0,0.0
2025-01-13 07:43:00-05:00,168.69,168.69,168.69,168.69,0,0.0,0.0
2025-01-13 07:44:00-05:00,168.7,168.7,168.7,168.7,0,0.0,0.0
2025-01-13 07:45:00-05:00,168.72,168.72,168.5,168.64,0,0.0,0.0
2025-01-13 07:48:00-05:00,168.74,168.76,168.74,168.76,0,0.0,0.0
2025-01-13 07:50:00-05:00,168.76,168.79,168.76,168.79,0,0.0,0.0
2025-01-13 07:51:00-05:00,168.8,168.97,168.8,168.97,0,0.0,0.0
2025-01-13 07:52:00-05:00,168.97,168.97,168.97,168.97,0,0.0,0.0
2025-01-13 07:56:00-05:00,168.95,168.97,168.95,168.97,0,0.0,0.0
2025-01-13 07:57:00-05:00,168.97,168.99,168.97,168.99,0,0.0,0.0
2025-01-13 08:00:00-05:00,168.5,171.1288,167.9612,168.78,0,0.0,0.0
2025-01-13 08:04:00-05:00,168.75,168.98,168.75,168.98,0,0.0,0.0
2025-01-13 08:05:00-05:00,169.0,169.0,169.0,169.0,0,0.0,0.0
2025-01-13 08:06:00-05:00,168.9,168.97,168.9,168.97,0,0.0,0.0
2025-01-13 08:11:00-05:00,168.54,168.99,168.54,168.99,0,0.0,0.0
2025-01-13 08:13:00-05:00,168.89,168.9,168.89,168.9,0,0.0,0.0
2025-01-13 08:14:00-05:00,168.9,169.38,168.9,169.38,0,0.0,0.0
2025-01-13 08:15:00-05:00,169.37,169.37,168.9,169.37,0,0.0,0.0
2025-01-13 08:17:00-05:00,169.37,169.37,169.37,169.37,0,0.0,0.0
2025-01-13 08:18:00-05:00,169.69,169.69,169.37,169.58,0,0.0,0.0
2025-01-13 08:23:00-05:00,169.5,169.5,169.5,169.5,0,0.0,0.0
2025-01-13 08:25:00-05:00,169.69,169.69,169.69,169.69,0,0.0,0.0
2025-01-13 08:26:00-05:00,168.5,168.5,168.5,168.5,0,0.0,0.0
2025-01-13 08:27:00-05:00,169.01,169.01,169.01,169.01,0,0.0,0.0
2025-01-13 08:28:00-05:00,169.0,169.0,169.0,169.0,0,0.0,0.0
2025-01-13 08:32:00-05:00,169.64,169.64,169.25,169.4,0,0.0,0.0
2025-01-13 08:33:00-05:00,169.02,169.02,169.02,169.02,0,0.0,0.0
2025-01-13 08:35:00-05:00,169.08,169.55,169.08,169.55,0,0.0,0.0
2025-01-13 08:37:00-05:00,169.16,169.56,169.0,169.56,0,0.0,0.0
2025-01-13 08:39:00-05:00,169.125,169.5,169.125,169.5,0,0.0,0.0
2025-01-13 08:40:00-05:00,169.5,169.5,169.5,169.5,0,0.0,0.0
2025-01-13 08:41:00-05:00,169.63,169.63,169.61,169.61,0,0.0,0.0
2025-01-13 08:42:00-05:00,168.6,168.6,168.6,168.6,0,0.0,0.0
