Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-13 04:00:00-05:00,4.93,5.18,4.5,4.98,0,0.0,0.0
2025-01-13 04:01:00-05:00,4.99,5.09,4.95,5.05,0,0.0,0.0
2025-01-13 04:02:00-05:00,5.04,5.09,5.0,5.06,0,0.0,0.0
2025-01-13 04:03:00-05:00,5.09,5.09,5.0,5.02,0,0.0,0.0
2025-01-13 04:04:00-05:00,5.02,5.09,5.0,5.01,0,0.0,0.0
2025-01-13 04:05:00-05:00,5.01,5.09,5.01,5.06,0,0.0,0.0
2025-01-13 04:07:00-05:00,5.1,5.1,5.05,5.07,0,0.0,0.0
2025-01-13 04:08:00-05:00,5.07,5.08,5.02,5.04,0,0.0,0.0
2025-01-13 04:09:00-05:00,5.05,5.07,5.04,5.04,0,0.0,0.0
2025-01-13 04:10:00-05:00,5.06,5.11,5.04,5.09,0,0.0,0.0
2025-01-13 04:11:00-05:00,5.1,5.14,5.09,5.12,0,0.0,0.0
2025-01-13 04:12:00-05:00,5.12,5.16,5.09,5.15,0,0.0,0.0
2025-01-13 04:13:00-05:00,5.15,5.2,5.02,5.19,0,0.0,0.0
2025-01-13 04:14:00-05:00,5.15,5.24,5.14,5.21,0,0.0,0.0
2025-01-13 04:15:00-05:00,5.22,5.23,5.16,5.16,0,0.0,0.0
2025-01-13 04:16:00-05:00,5.16,5.17,5.15,5.15,0,0.0,0.0
2025-01-13 04:17:00-05:00,5.16,5.16,5.13,5.14,0,0.0,0.0
2025-01-13 04:18:00-05:00,5.14,5.17,5.13,5.13,0,0.0,0.0
2025-01-13 04:19:00-05:00,5.15,5.15,5.1,5.11,0,0.0,0.0
2025-01-13 04:20:00-05:00,5.11,5.11,5.08,5.08,0,0.0,0.0
2025-01-13 04:21:00-05:00,5.08,5.08,5.06,5.06,0,0.0,0.0
2025-01-13 04:22:00-05:00,5.06,5.08,5.06,5.08,0,0.0,0.0
2025-01-13 04:23:00-05:00,5.08,5.1,5.07,5.09,0,0.0,0.0
2025-01-13 04:24:00-05:00,5.1,5.13,5.1,5.12,0,0.0,0.0
2025-01-13 04:25:00-05:00,5.12,5.12,5.1,5.11,0,0.0,0.0
2025-01-13 04:26:00-05:00,5.11,5.11,5.06,5.08,0,0.0,0.0
2025-01-13 04:27:00-05:00,5.08,5.1,5.08,5.09,0,0.0,0.0
2025-01-13 04:28:00-05:00,5.09,5.09,5.08,5.08,0,0.0,0.0
2025-01-13 04:29:00-05:00,5.08,5.1,5.08,5.1,0,0.0,0.0
2025-01-13 04:30:00-05:00,5.11,5.11,5.07,5.09,0,0.0,0.0
2025-01-13 04:31:00-05:00,5.09,5.12,5.07,5.07,0,0.0,0.0
2025-01-13 04:32:00-05:00,5.08,5.1,5.07,5.08,0,0.0,0.0
2025-01-13 04:33:00-05:00,5.09,5.12,5.09,5.09,0,0.0,0.0
2025-01-13 04:34:00-05:00,5.09,5.1,5.07,5.1,0,0.0,0.0
2025-01-13 04:35:00-05:00,5.09,5.1,5.08,5.09,0,0.0,0.0
2025-01-13 04:36:00-05:00,5.08,5.1,5.08,5.1,0,0.0,0.0
2025-01-13 04:37:00-05:00,5.09,5.1,5.08,5.1,0,0.0,0.0
2025-01-13 04:38:00-05:00,5.1,5.1,5.09,5.09,0,0.0,0.0
2025-01-13 04:39:00-05:00,5.09,5.11,5.09,5.11,0,0.0,0.0
2025-01-13 04:40:00-05:00,5.1,5.12,5.1,5.12,0,0.0,0.0
2025-01-13 04:41:00-05:00,5.12,5.12,5.11,5.12,0,0.0,0.0
2025-01-13 04:42:00-05:00,5.12,5.12,5.1,5.1,0,0.0,0.0
2025-01-13 04:43:00-05:00,5.11,5.12,5.1,5.12,0,0.0,0.0
2025-01-13 04:44:00-05:00,5.11,5.11,5.09,5.1,0,0.0,0.0
2025-01-13 04:45:00-05:00,5.09,5.1,5.08,5.08,0,0.0,0.0
2025-01-13 04:46:00-05:00,5.08,5.22,5.08,5.21,0,0.0,0.0
2025-01-13 04:47:00-05:00,5.21,5.21,5.1,5.15,0,0.0,0.0
2025-01-13 04:48:00-05:00,5.16,5.16,5.12,5.15,0,0.0,0.0
2025-01-13 04:49:00-05:00,5.13,5.13,5.11,5.12,0,0.0,0.0
2025-01-13 04:50:00-05:00,5.12,5.13,5.11,5.12,0,0.0,0.0
2025-01-13 04:51:00-05:00,5.12,5.14,5.12,5.13,0,0.0,0.0
2025-01-13 04:52:00-05:00,5.13,5.15,5.13,5.13,0,0.0,0.0
2025-01-13 04:53:00-05:00,5.12,5.13,5.09,5.09,0,0.0,0.0
2025-01-13 04:54:00-05:00,5.1,5.12,5.09,5.12,0,0.0,0.0
2025-01-13 04:55:00-05:00,5.11,5.12,5.1,5.11,0,0.0,0.0
2025-01-13 04:56:00-05:00,5.11,5.12,5.1,5.1,0,0.0,0.0
2025-01-13 04:57:00-05:00,5.1,5.12,5.08,5.09,0,0.0,0.0
2025-01-13 04:58:00-05:00,5.1,5.11,5.03,5.05,0,0.0,0.0
2025-01-13 04:59:00-05:00,5.05,5.08,5.03,5.07,0,0.0,0.0
2025-01-13 05:00:00-05:00,5.08,5.08,5.04,5.06,0,0.0,0.0
2025-01-13 05:01:00-05:00,5.05,5.05,5.0,5.03,0,0.0,0.0
2025-01-13 05:02:00-05:00,5.03,5.03,5.01,5.01,0,0.0,0.0
2025-01-13 05:03:00-05:00,5.01,5.02,5.01,5.01,0,0.0,0.0
2025-01-13 05:04:00-05:00,5.01,5.06,5.01,5.03,0,0.0,0.0
2025-01-13 05:05:00-05:00,5.03,5.06,4.97,5.03,0,0.0,0.0
2025-01-13 05:06:00-05:00,5.01,5.01,4.99,4.99,0,0.0,0.0
2025-01-13 05:07:00-05:00,4.99,5.0,4.95,4.99,0,0.0,0.0
2025-01-13 05:08:00-05:00,5.0,5.0,4.96,4.96,0,0.0,0.0
2025-01-13 05:09:00-05:00,4.96,4.98,4.95,4.97,0,0.0,0.0
2025-01-13 05:10:00-05:00,4.98,5.02,4.96,4.99,0,0.0,0.0
2025-01-13 05:11:00-05:00,4.99,5.01,4.98,4.99,0,0.0,0.0
2025-01-13 05:12:00-05:00,5.0,5.01,4.98,4.98,0,0.0,0.0
2025-01-13 05:13:00-05:00,4.99,5.0,4.98,4.99,0,0.0,0.0
2025-01-13 05:14:00-05:00,4.99,5.0,4.99,5.0,0,0.0,0.0
2025-01-13 05:15:00-05:00,4.99,5.0,4.98,4.98,0,0.0,0.0
2025-01-13 05:16:00-05:00,4.98,4.98,4.97,4.98,0,0.0,0.0
2025-01-13 05:17:00-05:00,4.98,4.99,4.97,4.98,0,0.0,0.0
2025-01-13 05:18:00-05:00,4.98,4.98,4.97,4.97,0,0.0,0.0
2025-01-13 05:19:00-05:00,4.98,4.99,4.98,4.99,0,0.0,0.0
2025-01-13 05:20:00-05:00,4.99,4.99,4.99,4.99,0,0.0,0.0
2025-01-13 05:21:00-05:00,4.99,4.99,4.96,4.96,0,0.0,0.0
2025-01-13 05:22:00-05:00,4.97,4.98,4.96,4.97,0,0.0,0.0
2025-01-13 05:23:00-05:00,4.96,4.97,4.82,4.92,0,0.0,0.0
2025-01-13 05:24:00-05:00,4.93,4.93,4.87,4.87,0,0.0,0.0
2025-01-13 05:25:00-05:00,4.88,4.89,4.85,4.89,0,0.0,0.0
2025-01-13 05:26:00-05:00,4.88,4.88,4.84,4.86,0,0.0,0.0
2025-01-13 05:27:00-05:00,4.86,4.87,4.85,4.86,0,0.0,0.0
2025-01-13 05:28:00-05:00,4.86,4.86,4.84,4.84,0,0.0,0.0
2025-01-13 05:29:00-05:00,4.84,4.84,4.81,4.81,0,0.0,0.0
2025-01-13 05:30:00-05:00,4.82,4.82,4.79,4.79,0,0.0,0.0
2025-01-13 05:31:00-05:00,4.79,4.83,4.79,4.83,0,0.0,0.0
2025-01-13 05:32:00-05:00,4.82,4.92,4.82,4.89,0,0.0,0.0
2025-01-13 05:33:00-05:00,4.9,4.95,4.89,4.92,0,0.0,0.0
2025-01-13 05:34:00-05:00,4.94,4.94,4.91,4.91,0,0.0,0.0
2025-01-13 05:35:00-05:00,4.92,4.94,4.9,4.94,0,0.0,0.0
2025-01-13 05:36:00-05:00,4.93,4.95,4.93,4.93,0,0.0,0.0
2025-01-13 05:37:00-05:00,4.93,4.94,4.92,4.94,0,0.0,0.0
2025-01-13 05:38:00-05:00,4.93,4.96,4.92,4.92,0,0.0,0.0
2025-01-13 05:39:00-05:00,4.93,4.96,4.92,4.94,0,0.0,0.0
2025-01-13 05:40:00-05:00,4.94,4.95,4.93,4.95,0,0.0,0.0
2025-01-13 05:41:00-05:00,4.94,4.95,4.93,4.95,0,0.0,0.0
2025-01-13 05:42:00-05:00,4.95,4.96,4.94,4.96,0,0.0,0.0
2025-01-13 05:43:00-05:00,4.96,4.98,4.93,4.95,0,0.0,0.0
2025-01-13 05:44:00-05:00,4.95,4.96,4.93,4.96,0,0.0,0.0
2025-01-13 05:45:00-05:00,4.95,4.96,4.94,4.95,0,0.0,0.0
2025-01-13 05:46:00-05:00,4.95,5.0,4.95,4.95,0,0.0,0.0
2025-01-13 05:47:00-05:00,4.97,4.99,4.97,4.98,0,0.0,0.0
2025-01-13 05:48:00-05:00,4.95,4.98,4.95,4.96,0,0.0,0.0
2025-01-13 05:49:00-05:00,4.96,4.97,4.95,4.95,0,0.0,0.0
2025-01-13 05:50:00-05:00,4.95,4.96,4.95,4.95,0,0.0,0.0
2025-01-13 05:51:00-05:00,4.95,4.95,4.95,4.95,0,0.0,0.0
2025-01-13 05:52:00-05:00,4.95,4.95,4.93,4.93,0,0.0,0.0
2025-01-13 05:53:00-05:00,4.93,4.95,4.93,4.93,0,0.0,0.0
2025-01-13 05:54:00-05:00,4.94,4.94,4.93,4.94,0,0.0,0.0
2025-01-13 05:55:00-05:00,4.94,4.94,4.94,4.94,0,0.0,0.0
2025-01-13 05:56:00-05:00,4.94,4.94,4.94,4.94,0,0.0,0.0
2025-01-13 05:57:00-05:00,4.94,4.99,4.94,4.98,0,0.0,0.0
2025-01-13 05:58:00-05:00,4.98,4.98,4.97,4.97,0,0.0,0.0
2025-01-13 05:59:00-05:00,4.98,4.99,4.98,4.98,0,0.0,0.0
2025-01-13 06:00:00-05:00,4.98,5.0,4.97,5.0,0,0.0,0.0
2025-01-13 06:01:00-05:00,5.0,5.0,4.98,5.0,0,0.0,0.0
2025-01-13 06:02:00-05:00,5.0,5.0,4.99,5.0,0,0.0,0.0
2025-01-13 06:03:00-05:00,5.0,5.01,5.0,5.0,0,0.0,0.0
2025-01-13 06:04:00-05:00,5.0,5.01,5.0,5.01,0,0.0,0.0
2025-01-13 06:05:00-05:00,5.0,5.0,4.99,5.0,0,0.0,0.0
2025-01-13 06:06:00-05:00,4.99,5.0,4.99,5.0,0,0.0,0.0
2025-01-13 06:07:00-05:00,5.0,5.0,4.99,4.99,0,0.0,0.0
2025-01-13 06:08:00-05:00,5.0,5.01,5.0,5.0,0,0.0,0.0
2025-01-13 06:09:00-05:00,5.01,5.01,4.97,4.97,0,0.0,0.0
2025-01-13 06:10:00-05:00,4.97,4.97,4.96,4.97,0,0.0,0.0
2025-01-13 06:11:00-05:00,4.97,4.97,4.95,4.95,0,0.0,0.0
2025-01-13 06:12:00-05:00,4.95,4.95,4.94,4.94,0,0.0,0.0
2025-01-13 06:13:00-05:00,4.94,4.94,4.93,4.94,0,0.0,0.0
2025-01-13 06:14:00-05:00,4.93,4.94,4.92,4.93,0,0.0,0.0
